url,api,type,boot,logo,urls,user-agent,pass,timeout,core,ua,epg,catchup,playertype,ext,name
http://127.0.0.1:9978/proxy?do=live&url=https://tv.iill.top/m3u/Live,,0,,,,,,10,,,,,2,,网络Live
https://live.fanmingming.cn/tv/m3u/ipv6.m3u,,0,,,,,,10,,,,,2,,范明明
https://wget.la/https://github.com/Kimentanm/aptv/raw/master/m3u/iptv.m3u,,0,,https://epg.iill.top/logo/{name}.png,,,,10,,"okhttp/3.15,AptvPlayer/1.4.0",http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,2,,APTV
https://github.moeyy.xyz/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u,,0,,https://epg.v1.mk/logo/{name}.png,,,,,,,http://epg.51zmt.top:8000/api/diyp/?ch={name}&date={date},,2,,V4聚合（卡顿请按左┃右键换线）
https://github.moeyy.xyz/https://raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,0,,,,,,,,,,,2,,V6范明明
http://tv.iill.top/m3u/Live,,0,,,,,,,,okhttp/3.15,,,2,,平台直播
https://upld.zone.id/uploads/q9iq9e5iq/lvse.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,,http://epg.112114.xyz/?ch={name}&date={date},,,,驸马影视•ITV
https://ghfast.top/raw.githubusercontent.com/suxuang/myIPTV/main/ipv4.m3u,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,,http://epg.112114.xyz/?ch={name}&date={date},,,,驸马影视•国内直播
http://110.185.171.226:93/dsch/gat.txt,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,,http://epg.112114.xyz/?ch={name}&date={date},,,,驸马影视•港澳台
https://fy.iptv1.ggff.net/?url=http://www.douzhicloud.site:35455,,0,,https://epg.112114.xyz/logo/{name}.png,,,,,,,http://epg.112114.xyz/?ch={name}&date={date},,,,驸马影视•国内IPTV
http://150.158.112.123/live.txt,,0,,,,,,,,okhttp/3.15,,,2,,平台直播
https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1742130501942/bjtv.txt,,0,,,,,,,,,,,1,,BJTV
https://fs-im-kefu.7moor-fs1.com/ly/4d2c3f00-7d4c-11e5-af15-41bf63ae4ea0/1736923192652/boboji.m3u,,0,,,,,,,,,,,1,,钵钵鸡(四网通用)
http://127.0.0.1:9978/file/XYQTVBox/live.txt,,0,,https://epg.iill.top/logo/{name}.png,,,True,,,,http://cdn.1678520.xyz/epg/?ch={name}&date={date},,,,本地live文件
https://github.moeyy.xyz/https://raw.githubusercontent.com/big-mouth-cn/tv/main/iptv-ok.m3u,,0,,https://epg.v1.mk/logo/{name}.png,,,True,,,,https://epg.v1.mk/json?ch={name}&date={date},,,,BMCH
https://ghfile.geekertao.top/https://raw.githubusercontent.com/TianmuTNT/iptv/main/iptv.txt,,0,,https://epg.v1.mk/logo/{name}.png,,,True,,,,https://epg.v1.mk/json?ch={name}&date={date},,,,Tianmu
https://live.fanmingming.cn/tv/m3u/ipv6.m3u,,0,,,,,True,,,,,,,,fanmingming
https://ghfast.top/raw.githubusercontent.com/fanmingming/live/refs/heads/main/tv/m3u/ipv6.m3u,,0,,https://live.fanmingming.com/tv/{name}.png,,,,,,,,,1,,FMM
